,utc_off,ua_no,ua_name,prev_sat,cur_sat,ho_utc,avail_sats,MS11,MS12,MS13,MS14,MS15,MS16,MS21,MS22,MS23,MS24,MS25,MS26,MS31,MS32,MS33,MS34,MS35,MS36
122,11,1,Davao,MS13,MS13,None,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
123,11,2,Durban,MS25,MS25,None,5,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
124,11,3,Edmington,MS14,MS14,None,6,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0
125,11,4,Halifax,MS31,MS31,None,4,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
126,11,5,Hamilton,MS23,MS23,None,4,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
127,11,6,HimachalPradesh,MS12,MS12,None,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
128,11,7,Jarkhand,MS21,MS21,None,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
129,11,8,Mindenaa,ERR,MS26,None,4,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
130,11,9,Pretoria,MS16,MS16,None,6,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0
131,11,10,Quito,MS24,MS24,None,4,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
132,12,0,CapeTown,MS11,MS11,None,5,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
133,12,1,Davao,MS13,MS13,None,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
134,12,2,Durban,MS25,MS25,None,6,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0
135,12,3,Edmington,MS14,MS14,None,6,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0
136,12,4,Halifax,MS31,MS31,None,4,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
137,12,5,Hamilton,MS23,MS23,None,4,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
138,12,6,HimachalPradesh,MS12,MS12,None,5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
139,12,7,Jarkhand,MS21,MS21,None,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
140,12,8,Mindenaa,MS26,MS26,None,4,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
141,12,9,Pretoria,MS16,MS16,None,6,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0
142,12,10,Quito,MS24,MS24,None,4,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
143,13,0,CapeTown,MS11,MS11,None,5,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
144,13,1,Davao,MS13,MS13,None,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
145,13,2,Durban,MS25,MS25,None,6,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0
146,13,3,Edmington,MS14,MS14,None,6,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0
147,13,4,Halifax,MS31,MS31,None,4,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
148,13,5,Hamilton,MS23,MS23,None,4,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
